frame,time_s,x,y,z,yaw_deg,speed_kmh,lane_shift,nearest_dist,ref_index,ref_x,ref_y,steer,throttle,brake,source
16384,5.456337854266167,528.2797241210938,138.0939178466797,0.285300076007843,0.23475705087184906,1.7639999270439148,,,0,,,0.0,0.0,0.0,no-data (h_err=0)
16385,5.506337855011225,528.2797241210938,138.0939178466797,0.24610009789466858,0.23475705087184906,3.5280002832412722,,,0,,,0.0,0.75,0.0,no-data (h_err=0)
16386,5.556337855756283,528.2797241210938,138.0939178466797,0.18239998817443848,0.23475705087184906,5.2920005321502686,,,0,,,0.0,0.75,0.0,no-data (h_err=0)
16387,5.606337856501341,528.2797241210938,138.0939178466797,0.10209394246339798,0.23475705087184906,5.562359046936035,,,0,,,0.0,0.75,0.0,no-data (h_err=0)
16388,5.656337857246399,528.2797241210938,138.0939178466797,0.03413724899291992,0.23475705087184906,4.419846582412721,,,0,,,0.0,0.75,0.0,no-data (h_err=0)
16389,5.706337857991457,528.2797241210938,138.0939178466797,-0.016871776431798935,0.23475705087184906,3.172297954559334,,,0,,,0.0,0.75,0.0,no-data (h_err=0)
16390,5.756337858736515,528.2797241210938,138.0939178466797,-0.050843026489019394,0.23475705087184906,1.9768856763839926,,,0,,,0.0,0.75,0.0,no-data (h_err=0)
16391,5.806337859481573,528.2797241210938,138.0939178466797,-0.06943201273679733,0.23475705087184906,0.9386306762695519,,,0,,,0.0,0.75,0.0,vision
16392,5.856337860226631,528.2797241210938,138.0939178466797,-0.07535172998905182,0.23475705087184906,0.11538539975900729,,,0,,,-0.009033849462866783,0.75,0.0,vision
16393,5.906337860971689,528.2797241210938,138.0939178466797,-0.0717841163277626,0.23475705087184906,0.47394434809686375,,,0,,,-0.008444128558039665,0.75,0.0,vision
16394,5.956337861716747,528.2797241210938,138.0939178466797,-0.06191881000995636,0.23475705087184906,0.8396841466426891,,,0,,,-0.008097819052636623,0.75,0.0,vision
16395,6.006337862461805,528.2797241210938,138.0939178466797,-0.04862939566373825,0.23475705087184906,1.0116392254829423,,,0,,,-0.007897554896771908,0.75,0.0,vision
16396,6.056337863206863,528.2797241210938,138.0939178466797,-0.03427762910723686,0.23475705087184906,1.0302627682686318,,,0,,,-0.011297846212983131,0.75,0.0,vision
16397,6.1063378639519215,528.2797241210938,138.0939178466797,-0.020627956837415695,0.23475705087184906,0.9394118428230374,,,0,,,-0.01100846566259861,0.75,0.0,vision
16398,6.1563378646969795,528.2813720703125,138.0939178466797,-0.008896083571016788,0.23427416384220123,0.9453201846144963,,,0,,,-0.011901063844561577,0.75,0.0,vision
16399,6.206337865442038,528.2889404296875,138.09390258789062,0.00022451400582212955,0.2326369285583496,0.769270527756986,,,0,,,-0.011314407922327518,0.75,0.0,vision
16400,6.256337866187096,528.296142578125,138.0938720703125,0.006743259262293577,0.23049506545066833,0.6510451859229472,,,0,,,-0.011291795410215855,0.75,0.0,vision
16401,6.306337866932154,528.302978515625,138.09385681152344,0.010777721181511879,0.22822563350200653,0.5246260296724039,,,0,,,-0.008830484002828598,0.75,0.0,vision
16402,6.356337867677212,528.3157958984375,138.09378051757812,0.012481021694839,0.23596571385860443,1.3576474377576548,,,0,,,-0.009006556123495102,0.75,0.0,vision
16403,6.40633786842227,528.3388061523438,138.09385681152344,0.012316341511905193,0.21605853736400604,1.7103839962799576,,,0,,,-0.00850676093250513,0.75,0.0,vision
16404,6.456337869167328,528.3661499023438,138.09388732910156,0.01101140957325697,0.20086336135864258,1.8618775223330482,,,0,,,-0.005241862498223782,0.75,0.0,vision
16405,6.506337869912386,528.393798828125,138.09393310546875,0.009121875278651714,0.19543108344078064,2.0108950517823763,,,0,,,-0.0054488410241901875,0.75,0.0,vision
16406,6.556337870657444,528.4244995117188,138.09397888183594,0.0069380756467580795,0.18353773653507233,2.4250026871115136,,,0,,,-0.005546921864151955,0.75,0.0,vision
16407,6.606337871402502,528.4615478515625,138.0940704345703,0.004686451051384211,0.16255103051662445,2.84509899848099,,,0,,,-0.00545972166582942,0.75,0.0,vision
16408,6.65633787214756,528.5023193359375,138.09410095214844,0.0026851461734622717,0.1564357429742813,3.1005481871905847,,,0,,,-0.005762293469160795,0.75,0.0,vision
16409,6.706337872892618,528.5491943359375,138.0941619873047,0.0009931373642757535,0.14138822257518768,3.559333194576909,,,0,,,-0.0056682550348341465,0.75,0.0,vision
16410,6.756337873637676,528.5987548828125,138.09413146972656,-0.00021196364832576364,0.13352331519126892,3.5614947029305837,,,0,,,-0.005818675272166729,0.75,0.0,vision
16411,6.806337874382734,528.6481323242188,138.09410095214844,-0.000900058716069907,0.12667512893676758,3.6150195953180186,,,0,,,-0.005812487099319696,0.75,0.0,vision
16412,6.856337875127792,528.7003173828125,138.09402465820312,-0.0012376594822853804,0.1216878592967987,3.967818301862699,,,0,,,-0.005777066573500633,0.75,0.0,vision
16413,6.90633787587285,528.7642211914062,138.0939178466797,-0.0015180777991190553,0.15224628150463104,5.077317658727225,,,0,,,-0.0037403013557195663,0.75,0.0,vision
16414,6.9563378766179085,528.841552734375,138.09388732910156,-0.0017356681637465954,0.1680554300546646,5.812945765104107,,,0,,,-0.0033892281353473663,0.75,0.0,vision
16415,7.0063378773629665,528.9330444335938,138.09390258789062,-0.0019023703644052148,0.18113459646701813,6.860549013978523,,,0,,,-0.0031977135222405195,0.75,0.0,vision
16416,7.056337878108025,529.0323486328125,138.0940399169922,-0.0018417930696159601,0.18792814016342163,7.2867505740531096,,,0,,,-0.0018759961239993572,0.75,0.0,vision
16417,7.106337878853083,529.1417236328125,138.09423828125,-0.0017016410129144788,0.18648704886436462,8.220210435376485,,,0,,,-0.0018780933460220695,0.75,0.0,vision
16418,7.156337879598141,529.2640991210938,138.09451293945312,-0.001585521618835628,0.18030723929405212,9.312813109657654,,,0,,,-0.001680133049376309,0.75,0.0,vision
16419,7.206337880343199,529.4049072265625,138.09481811523438,-0.0016206168802455068,0.18122771382331848,10.440825283392911,,,0,,,-0.0014334343140944839,0.75,0.0,vision
16420,7.256337881088257,529.5563354492188,138.0951385498047,-0.0015593146672472358,0.18896760046482086,11.183457342712497,,,0,,,-0.0011981084244325757,0.75,0.0,vision
