frame,time_s,x,y,z,yaw_deg,speed_kmh,lane_shift,nearest_dist,ref_index,ref_x,ref_y,steer,throttle,brake
290715,3.699234042316675,528.2797241210938,138.0939178466797,0.285300076007843,0.23475705087184906,1.7639999270439148,-3.0517321647494103e-05,3.0517578125e-05,0,528.2797241210938,138.0939483642578,0.0,0.0,0.0
290716,3.7492340430617332,528.2797241210938,138.0939178466797,0.24610009789466858,0.23475705087184906,3.5280002832412722,-3.0517321647494103e-05,3.0517578125e-05,0,528.2797241210938,138.0939483642578,7.6110200097900815e-06,0.75,0.0
290717,3.7992340438067913,528.2797241210938,138.0939178466797,0.18239998817443848,0.23475705087184906,5.2920005321502686,-3.0517321647494103e-05,3.0517578125e-05,0,528.2797241210938,138.0939483642578,7.99157078290591e-06,0.75,0.0
290718,3.8492340445518494,528.2797241210938,138.0939178466797,0.10209394246339798,0.23475705087184906,5.562359046936035,-3.0517321647494103e-05,3.0517578125e-05,0,528.2797241210938,138.0939483642578,8.181846169463824e-06,0.75,0.0
290719,3.8992340452969074,528.2797241210938,138.0939178466797,0.03413724899291992,0.23475705087184906,4.419846582412721,-3.0517321647494103e-05,3.0517578125e-05,0,528.2797241210938,138.0939483642578,8.37212246551644e-06,0.75,0.0
290720,3.9492340460419655,528.2797241210938,138.0939178466797,-0.016871776431798935,0.23475705087184906,3.172297954559334,-3.0517321647494103e-05,3.0517578125e-05,0,528.2797241210938,138.0939483642578,8.562397852074355e-06,0.75,0.0
290721,3.9992340467870235,528.2797241210938,138.0939178466797,-0.050843026489019394,0.23475705087184906,1.9768856763839926,-3.0517321647494103e-05,3.0517578125e-05,0,528.2797241210938,138.0939483642578,8.75267323863227e-06,0.75,0.0
290722,4.049234047532082,528.2797241210938,138.0939178466797,-0.06943201273679733,0.23475705087184906,0.9386306762695519,-3.0517321647494103e-05,3.0517578125e-05,0,528.2797241210938,138.0939483642578,8.942948625190184e-06,0.75,0.0
290723,4.09923404827714,528.2797241210938,138.0939178466797,-0.07535172998905182,0.23475705087184906,0.11538539975900812,-3.0517321647494103e-05,3.0517578125e-05,0,528.2797241210938,138.0939483642578,9.133224011748098e-06,0.75,0.0
290724,4.149234049022198,528.2797241210938,138.0939178466797,-0.0717841163277626,0.23475705087184906,0.47394434809686353,-3.0517321647494103e-05,3.0517578125e-05,0,528.2797241210938,138.0939483642578,9.323499398306012e-06,0.75,0.0
290725,4.199234049767256,528.2797241210938,138.0939178466797,-0.06191881000995636,0.23475705087184906,0.839684146642689,-3.0517321647494103e-05,3.0517578125e-05,0,528.2797241210938,138.0939483642578,9.513774784863926e-06,0.75,0.0
290726,4.249234050512314,528.2797241210938,138.0939178466797,-0.04862939566373825,0.23475705087184906,1.0116392254829423,-3.0517321647494103e-05,3.0517578125e-05,0,528.2797241210938,138.0939483642578,9.513774784863926e-06,0.75,0.0
290727,4.299234051257372,528.2797241210938,138.0939178466797,-0.03427762910723686,0.23475705087184906,1.0302627682686316,-3.0517321647494103e-05,3.0517578125e-05,0,528.2797241210938,138.0939483642578,9.513774784863926e-06,0.75,0.0
290728,4.34923405200243,528.2797241210938,138.0939178466797,-0.020627956837415695,0.23475705087184906,0.9394118428230378,-3.0517321647494103e-05,3.0517578125e-05,0,528.2797241210938,138.0939483642578,9.513774784863926e-06,0.75,0.0
