frame,time_s,x,y,z,yaw_deg,speed_kmh,lane_shift,nearest_dist,ref_index,ref_x,ref_y,steer,throttle,brake,source
581,8.78649440035224,528.2797241210938,138.0939178466797,0.285300076007843,0.23475705087184906,1.7639999270439148,,,0,,,0.0,0.0,0.0,no-data (h_err=0)
582,8.836494401097298,528.2797241210938,138.0939178466797,0.24610009789466858,0.23475705087184906,3.5280002832412722,,,0,,,0.0,0.75,0.0,no-data (h_err=0)
583,8.886494401842356,528.2797241210938,138.0939178466797,0.18239998817443848,0.23475705087184906,5.2920005321502686,,,0,,,0.0,0.75,0.0,no-data (h_err=0)
584,8.936494402587414,528.2797241210938,138.0939178466797,0.10209394246339798,0.23475705087184906,5.562359046936035,,,0,,,0.0,0.75,0.0,no-data (h_err=0)
585,8.986494403332472,528.2797241210938,138.0939178466797,0.03413724899291992,0.23475705087184906,4.419846582412721,,,0,,,0.0,0.75,0.0,no-data (h_err=0)
586,9.03649440407753,528.2797241210938,138.0939178466797,-0.016871776431798935,0.23475705087184906,3.172297954559334,,,0,,,0.0,0.75,0.0,no-data (h_err=0)
587,9.086494404822588,528.2797241210938,138.0939178466797,-0.050843026489019394,0.23475705087184906,1.9768856763839926,,,0,,,0.0,0.75,0.0,no-data (h_err=0)
588,9.136494405567646,528.2797241210938,138.0939178466797,-0.06943201273679733,0.23475705087184906,0.9386306762695519,,,0,,,0.0,0.75,0.0,vision
589,9.186494406312704,528.2797241210938,138.0939178466797,-0.07535172998905182,0.23475705087184906,0.11538539975900734,,,0,,,-0.008790711872279644,0.75,0.0,vision
590,9.236494407057762,528.2797241210938,138.0939178466797,-0.0717841163277626,0.23475705087184906,0.47394434809686375,,,0,,,-0.008216863498091698,0.75,0.0,vision
591,9.28649440780282,528.2797241210938,138.0939178466797,-0.06191881000995636,0.23475705087184906,0.8396841466426891,,,0,,,-0.007879874669015408,0.75,0.0,vision
592,9.336494408547878,528.2797241210938,138.0939178466797,-0.04862939566373825,0.23475705087184906,1.0116392254829423,,,0,,,-0.007685000076889992,0.75,0.0,vision
593,9.386494409292936,528.2797241210938,138.0939178466797,-0.03427762910723686,0.23475705087184906,1.0302627682686318,,,0,,,-0.011143301613628864,0.75,0.0,vision
594,9.436494410037994,528.2797241210938,138.0939178466797,-0.020627956837415695,0.23475705087184906,0.9394118428230374,,,0,,,-0.010851949453353882,0.75,0.0,vision
595,9.486494410783052,528.2813720703125,138.0939178466797,-0.008896083571016788,0.23427747189998627,0.945320320284049,,,0,,,-0.011779414489865303,0.75,0.0,vision
596,9.53649441152811,528.2889404296875,138.09390258789062,0.00022451400582212955,0.2326572835445404,0.7692718385278414,,,0,,,-0.011194808408617973,0.75,0.0,vision
597,9.586494412273169,528.296142578125,138.0938720703125,0.006743259262293577,0.2305389940738678,0.6510465968882255,,,0,,,-0.01116932462900877,0.75,0.0,vision
598,9.636494413018227,528.302978515625,138.09385681152344,0.01077768299728632,0.22806578874588013,0.5249915584266598,,,0,,,-0.011126245371997356,0.75,0.0,vision
599,9.686494413763285,528.3155517578125,138.0937957763672,0.012487773783504963,0.22405588626861572,1.349727843315083,,,0,,,-0.008784404024481773,0.75,0.0,vision
600,9.736494414508343,528.3387451171875,138.09368896484375,0.01232160534709692,0.21898359060287476,1.6563655153410557,,,0,,,-0.00835594441741705,0.75,0.0,vision
601,9.7864944152534,528.3616943359375,138.09365844726562,0.011120281182229519,0.2166260927915573,1.6235602658783155,,,0,,,-0.005232903175055981,0.75,0.0,vision
602,9.836494415998459,528.3840942382812,138.09364318847656,0.009307155385613441,0.2156500518321991,1.6200531190219194,,,0,,,-0.005540691316127777,0.75,0.0,vision
603,9.886494416743517,528.4063720703125,138.09364318847656,0.007226963061839342,0.21615178883075714,1.6599862771134481,,,0,,,-0.00571268517524004,0.75,0.0,vision
604,9.936494417488575,528.431640625,138.0936279296875,0.005080356262624264,0.2247873842716217,2.1769302512757323,,,0,,,-0.005790881346911192,0.75,0.0,vision
605,9.986494418233633,528.4698486328125,138.0936737060547,0.0028690528124570847,0.21521100401878357,3.0890667264070357,,,0,,,-0.005604480393230915,0.75,0.0,vision
606,10.036494418978691,528.5180053710938,138.09371948242188,0.0009430503705516458,0.1969364732503891,3.6638872148841033,,,0,,,-0.0053259688429534435,0.75,0.0,vision
607,10.08649441972375,528.572509765625,138.09361267089844,-0.0005113792140036821,0.22596018016338348,4.209669188966805,,,0,,,-0.006684507708996534,0.75,0.0,vision
608,10.136494420468807,528.6343383789062,138.093505859375,-0.0014986991882324219,0.2467452585697174,4.626569482052914,,,0,,,-0.0063598365522921085,0.75,0.0,vision
609,10.186494421213865,528.701171875,138.0934295654297,-0.002011737786233425,0.2626709043979645,4.946690728564443,,,0,,,-0.0061437832191586494,0.75,0.0,vision
610,10.236494421958923,528.7749633789062,138.093505859375,-0.002193660708144307,0.24805761873722076,5.600973961974154,,,0,,,-0.00599613506346941,0.75,0.0,vision
