t,steer_cmd,speed_kmh,yaw_rate_dps
0.0,0.05,22.22172363622721,2.571787118911743
0.05,0.05,22.293263233295026,4.6610493659973145
0.1,0.05,22.21157990180434,5.341681003570557
0.15000000000000002,0.05,22.287189046300256,6.25528621673584
0.2,0.05,22.207280472888964,6.264051914215088
0.25,0.05,22.284163158632985,6.789113521575928
0.30000000000000004,0.05,22.20507322791943,6.573271751403809
0.35000000000000003,0.05,22.28258918174262,6.967477798461914
0.4,0.05,22.203971305621693,6.675787448883057
0.45,0.05,22.281876546108602,7.025814533233643
0.5,0.05,22.2035816997958,6.708754062652588
0.55,0.05,22.28173216639259,7.044155120849609
0.6000000000000001,0.05,22.203645176865127,6.718869209289551
0.65,0.05,22.281943490074728,7.04962682723999
0.7000000000000001,0.05,22.20397622349592,6.721862316131592
0.75,0.05,22.282363563262532,7.051304340362549
0.8,0.05,22.20446096816729,6.722843170166016
0.8500000000000001,0.05,22.2828758590795,7.051890850067139
0.9,0.05,22.20500321063375,6.723317623138428
0.9500000000000001,0.05,22.283427604538776,7.052356719970703
1.0,0.05,22.205558071625198,6.723686695098877
1.05,0.05,22.283971904060056,7.052693843841553
1.1,0.05,22.206090345396138,6.724032402038574
1.1500000000000001,0.05,22.284480303746584,7.053016662597656
1.2000000000000002,0.05,22.20656403353408,6.7242817878723145
1.25,0.05,22.284928182205373,7.053215503692627
1.3,0.05,22.20696526057256,6.724465370178223
1.35,0.05,22.285310059695192,7.053434371948242
1.4000000000000001,0.05,22.207319375469496,6.724643707275391
1.4500000000000002,0.05,22.285631472636368,7.053553104400635
1.5,0.05,22.207614553977944,6.7247843742370605
1.55,0.05,22.285892501038735,7.053680419921875
1.6,0.05,22.20784673269472,6.7248687744140625
1.6500000000000001,0.05,22.286098739737387,7.053750038146973
1.7000000000000002,0.05,22.208026977053645,6.724926471710205
1.75,0.05,22.28625898082343,7.053821563720703
1.8,0.05,22.20816730243381,6.724966049194336
1.85,0.05,22.286375374030676,7.053861141204834
1.9000000000000001,0.05,22.208263280268003,6.725018501281738
1.9500000000000002,0.05,22.286462070014263,7.053869247436523
2.0,0.05,22.208332734297805,6.725031852722168
2.0500000000000003,0.05,22.28651302835834,7.053909778594971
2.1,0.05,22.208375713648287,6.72507905960083
2.15,0.05,22.286546250087707,7.053943157196045
2.2,0.05,22.208402260258662,6.72507381439209
2.25,0.05,22.28656335653119,7.0539326667785645
2.3000000000000003,0.05,22.208406966224405,6.72506046295166
2.35,0.05,22.286567356012874,7.053942680358887
2.4000000000000004,0.05,22.20840556283794,6.725070953369141
2.45,0.05,22.286565308837012,7.053924083709717
